# Energy(GeV) Height(cm) Zenith(deg) Weights
7.079458e+05 7.438817e+06 85.000000 2.053744e-11
8.912509e+05 7.438817e+06 85.000000 1.261045e-11
1.122018e+06 7.438817e+06 85.000000 7.735981e-12
1.412538e+06 7.438817e+06 85.000000 4.739626e-12
1.778279e+06 7.438817e+06 85.000000 2.885185e-12
2.238721e+06 7.438817e+06 85.000000 1.742330e-12
2.818383e+06 7.438817e+06 85.000000 1.039064e-12
3.548134e+06 7.438817e+06 85.000000 6.098220e-13
4.466836e+06 7.438817e+06 85.000000 3.511391e-13
5.623413e+06 7.438817e+06 85.000000 1.970232e-13
7.079458e+06 7.438817e+06 85.000000 1.069187e-13
8.912509e+06 7.438817e+06 85.000000 5.576954e-14
1.122018e+03 6.744419e+06 85.000000 2.364053e-05
1.412538e+03 6.744419e+06 85.000000 1.621069e-05
1.778279e+03 6.744419e+06 85.000000 1.097718e-05
2.238721e+03 6.744419e+06 85.000000 7.346848e-06
2.818383e+03 6.744419e+06 85.000000 4.865319e-06
3.548134e+03 6.744419e+06 85.000000 3.190062e-06
4.466836e+03 6.744419e+06 85.000000 2.072446e-06
5.623413e+03 6.744419e+06 85.000000 1.335215e-06
7.079458e+03 6.744419e+06 85.000000 8.540310e-07
8.912509e+03 6.744419e+06 85.000000 5.425317e-07
1.122018e+04 6.744419e+06 85.000000 3.424564e-07
1.412538e+04 6.744419e+06 85.000000 2.149069e-07
1.778279e+04 6.744419e+06 85.000000 1.341267e-07
2.238721e+04 6.744419e+06 85.000000 8.330640e-08
2.818383e+04 6.744419e+06 85.000000 5.150493e-08
3.548134e+04 6.744419e+06 85.000000 3.171018e-08
4.466836e+04 6.744419e+06 85.000000 1.945590e-08
5.623413e+04 6.744419e+06 85.000000 1.190194e-08
7.079458e+04 6.744419e+06 85.000000 7.261660e-09
8.912509e+04 6.744419e+06 85.000000 4.422345e-09
1.122018e+05 6.744419e+06 85.000000 2.689130e-09
1.412538e+05 6.744419e+06 85.000000 1.633740e-09
1.778279e+05 6.744419e+06 85.000000 9.923599e-10
2.238721e+05 6.744419e+06 85.000000 6.029602e-10
2.818383e+05 6.744419e+06 85.000000 3.667423e-10
3.548134e+05 6.744419e+06 85.000000 2.232524e-10
4.466836e+05 6.744419e+06 85.000000 1.362204e-10
5.623413e+05 6.744419e+06 85.000000 8.328407e-11
7.079458e+05 6.744419e+06 85.000000 5.099310e-11
8.912509e+05 6.744419e+06 85.000000 3.124146e-11
1.122018e+06 6.744419e+06 85.000000 1.912395e-11
1.412538e+06 6.744419e+06 85.000000 1.169233e-11
1.778279e+06 6.744419e+06 85.000000 7.103888e-12
2.238721e+06 6.744419e+06 85.000000 4.282438e-12
2.818383e+06 6.744419e+06 85.000000 2.549937e-12
