# Energy(GeV) Height(cm) Zenith(deg) Weights
1.778279e+04 5.430116e+06 85.000000 2.061146e-16
2.238721e+04 5.430116e+06 85.000000 9.032151e-17
2.818383e+04 5.430116e+06 85.000000 3.943547e-17
3.548134e+04 5.430116e+06 85.000000 1.715212e-17
4.466836e+04 5.430116e+06 85.000000 7.431293e-18
5.623413e+04 5.430116e+06 85.000000 3.205383e-18
7.079458e+04 5.430116e+06 85.000000 1.376988e-18
8.912509e+04 5.430116e+06 85.000000 5.886974e-19
1.122018e+05 5.430116e+06 85.000000 2.503722e-19
1.412538e+05 5.430116e+06 85.000000 1.057459e-19
1.778279e+05 5.430116e+06 85.000000 4.441181e-20
2.238721e+05 5.430116e+06 85.000000 1.854434e-20
2.818383e+05 5.430116e+06 85.000000 7.694540e-21
3.548134e+05 5.430116e+06 85.000000 3.174227e-21
4.466836e+05 5.430116e+06 85.000000 1.300435e-21
5.623413e+05 5.430116e+06 85.000000 5.297828e-22
7.079458e+05 5.430116e+06 85.000000 2.146708e-22
8.912509e+05 5.430116e+06 85.000000 8.680032e-23
1.122018e+06 5.430116e+06 85.000000 3.511215e-23
1.412538e+06 5.430116e+06 85.000000 1.426598e-23
1.778279e+06 5.430116e+06 85.000000 5.860443e-24
2.238721e+06 5.430116e+06 85.000000 2.445713e-24
2.818383e+06 5.430116e+06 85.000000 1.039263e-24
3.548134e+06 5.430116e+06 85.000000 4.509718e-25
4.466836e+06 5.430116e+06 85.000000 1.998795e-25
5.623413e+06 5.430116e+06 85.000000 9.042584e-26
7.079458e+06 5.430116e+06 85.000000 4.157810e-26
8.912509e+06 5.430116e+06 85.000000 1.944390e-26
1.122018e+03 4.810363e+06 85.000000 5.995365e-12
1.412538e+03 4.810363e+06 85.000000 2.862042e-12
1.778279e+03 4.810363e+06 85.000000 1.348293e-12
2.238721e+03 4.810363e+06 85.000000 6.272163e-13
2.818383e+03 4.810363e+06 85.000000 2.884319e-13
3.548134e+03 4.810363e+06 85.000000 1.313320e-13
